Ward Number,Year,Demographic,Value
Ward7,2015,Median Income,60425
Ward8,2015,Median Income,88521
Ward9,2015,Median Income,36524
Ward10,2015,Median Income,58916
Ward11,2015,Median Income,51861
Ward12,2015,Median Income,33090
Ward13,2015,Median Income,80927
Ward14,2015,Median Income,62309
Ward15,2015,Median Income,59580
Ward16,2015,Median Income,33732
Ward17,2015,Median Income,48977
Ward18,2015,Median Income,92571
Ward19,2015,Median Income,41811
Ward20,2015,Median Income,57491
Ward21,2015,Median Income,50612
Ward22,2015,Median Income,62496
Ward23,2015,Median Income,90283
Ward24,2015,Median Income,74824
Ward25,2015,Median Income,70567
Ward1,2016,Median Income,82296
Ward2,2016,Median Income,35876
Ward3,2016,Median Income,90718
Ward4,2016,Median Income,84054
Ward5,2016,Median Income,53984
Ward6,2016,Median Income,57087
Ward7,2016,Median Income,93839
Ward8,2016,Median Income,34690
Ward9,2016,Median Income,37078
Ward10,2016,Median Income,47147
Ward11,2016,Median Income,73613
Ward12,2016,Median Income,61086
Ward13,2016,Median Income,60587
Ward14,2016,Median Income,74767
Ward15,2016,Median Income,80550
Ward16,2016,Median Income,66578
Ward17,2016,Median Income,74782
Ward18,2016,Median Income,91966
Ward19,2016,Median Income,45749
Ward20,2016,Median Income,58571
Ward21,2016,Median Income,55419
Ward22,2016,Median Income,51318
Ward23,2016,Median Income,50287
Ward24,2016,Median Income,91460
Ward25,2016,Median Income,57915
Ward1,2017,Median Income,40892
Ward2,2017,Median Income,86604
Ward3,2017,Median Income,72236
Ward4,2017,Median Income,68565
Ward5,2017,Median Income,34585
Ward6,2017,Median Income,40100
Ward7,2017,Median Income,94910
Ward8,2017,Median Income,30010
Ward9,2017,Median Income,75729
Ward10,2017,Median Income,51663
Ward11,2017,Median Income,42937
Ward12,2017,Median Income,75220
Ward13,2017,Median Income,93367
Ward14,2017,Median Income,86354
Ward15,2017,Median Income,50393
Ward16,2017,Median Income,59860
Ward17,2017,Median Income,40555
Ward18,2017,Median Income,81121
Ward19,2017,Median Income,47807
Ward20,2017,Median Income,51729
Ward21,2017,Median Income,37200
Ward22,2017,Median Income,34792
Ward23,2017,Median Income,31503
Ward24,2017,Median Income,37154
Ward25,2017,Median Income,61032
Ward1,2018,Median Income,66208
Ward2,2018,Median Income,87513
Ward3,2018,Median Income,84589
Ward4,2018,Median Income,61261
Ward5,2018,Median Income,45025
Ward6,2018,Median Income,44077
Ward7,2018,Median Income,40479
Ward8,2018,Median Income,59086
Ward9,2018,Median Income,38175
Ward10,2018,Median Income,30124
Ward11,2018,Median Income,89183
Ward12,2018,Median Income,65871
Ward13,2018,Median Income,86417
Ward14,2018,Median Income,34727
Ward15,2018,Median Income,64227
Ward16,2018,Median Income,49035
Ward17,2018,Median Income,60332
Ward18,2018,Median Income,72199
Ward19,2018,Median Income,76341
Ward20,2018,Median Income,31917
Ward21,2018,Median Income,58152
Ward22,2018,Median Income,38150
Ward23,2018,Median Income,65005
Ward24,2018,Median Income,97534
Ward25,2018,Median Income,30092
Ward1,2019,Median Income,49218
Ward2,2019,Median Income,49036
Ward3,2019,Median Income,44422
Ward4,2019,Median Income,31322
Ward5,2019,Median Income,76407
Ward6,2019,Median Income,65121
Ward7,2019,Median Income,58168
Ward8,2019,Median Income,53493
Ward9,2019,Median Income,74824
Ward10,2019,Median Income,92023
Ward11,2019,Median Income,86582
Ward12,2019,Median Income,41750
Ward13,2019,Median Income,61836
Ward14,2019,Median Income,67287
Ward15,2019,Median Income,99071
Ward16,2019,Median Income,32632
Ward17,2019,Median Income,58140
Ward18,2019,Median Income,43112
Ward19,2019,Median Income,99118
Ward20,2019,Median Income,62653
Ward21,2019,Median Income,31308
Ward22,2019,Median Income,68385
Ward23,2019,Median Income,84533
Ward24,2019,Median Income,54693
Ward25,2019,Median Income,55175
Ward1,2020,Median Income,78583
Ward2,2020,Median Income,45037
Ward3,2020,Median Income,68357
Ward4,2020,Median Income,99856
Ward5,2020,Median Income,59584
Ward6,2020,Median Income,35696
Ward7,2020,Median Income,55876
Ward8,2020,Median Income,70372
Ward9,2020,Median Income,76962
Ward10,2020,Median Income,76692
Ward11,2020,Median Income,96529
Ward12,2020,Median Income,58393
Ward13,2020,Median Income,39349
Ward14,2020,Median Income,56795
Ward15,2020,Median Income,52154
Ward16,2020,Median Income,43665
Ward17,2020,Median Income,94131
Ward18,2020,Median Income,59665
Ward19,2020,Median Income,49369
Ward20,2020,Median Income,79949
Ward21,2020,Median Income,75152
Ward22,2020,Median Income,91110
Ward23,2020,Median Income,42485
Ward24,2020,Median Income,69977
Ward25,2020,Median Income,93563
Ward1,2021,Median Income,38767
Ward2,2021,Median Income,80212
Ward3,2021,Median Income,44507
Ward4,2021,Median Income,32498
Ward5,2021,Median Income,93216
Ward6,2021,Median Income,65366
Ward7,2021,Median Income,95240
Ward8,2021,Median Income,65209
Ward9,2021,Median Income,96710
Ward10,2021,Median Income,81501
Ward11,2021,Median Income,88212
Ward12,2021,Median Income,69098
Ward13,2021,Median Income,47176
Ward14,2021,Median Income,51037
Ward15,2021,Median Income,53995
Ward16,2021,Median Income,76903
Ward17,2021,Median Income,98583
Ward18,2021,Median Income,48536
Ward19,2021,Median Income,52807
Ward20,2021,Median Income,76971
Ward21,2021,Median Income,72478
Ward22,2021,Median Income,97393
Ward23,2021,Median Income,92786
Ward24,2021,Median Income,56543
Ward25,2021,Median Income,77325
