Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
Corporate Real Estate Management,Renovations,255 Spadina-Rpl MCC & Interior Painting, -   , -   , -   , -   , -   , -   , -   , -   ,5.00,276.00,281.00,12,Toronto-St. Pauls,State of Good Repair 
Corporate Real Estate Management,Renovations,"256 Cosburn Ave.-Replace Carpet, Vinyl, Fire Separ", -   , -   , -   ,37.00,222.00, -   , -   , -   , -   , -   ,259.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Renovations,259 Horner-Renovations Mech Sitework, -   , -   , -   , -   , -   , -   , -   , -   , -   ,38.00,38.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Renovations,2700 Eglinton W- Council Chamber Carpeting, -   ,12.00,264.00, -   , -   , -   , -   , -   , -   , -   ,276.00,5,York South-Weston ,State of Good Repair 
Corporate Real Estate Management,Renovations,"2753 Jane St-Replace Quarry Tile Flooring, Plumbin", -   , -   , -   , -   , -   , -   , -   , -   , -   ,51.00,51.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Renovations,308 Prince Edward Dr-Repair Interior Fire Separati, -   , -   , -   ,30.00,49.00, -   , -   , -   , -   , -   ,79.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Renovations,320 BERING AVE-Renovate Washrooms , -   , -   , -   ,6.00,71.00, -   , -   , -   , -   , -   ,77.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Renovations,320 BERING AVE-Replace entire flooring, -   , -   , -   ,6.00,159.00, -   , -   , -   , -   , -   ,165.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Renovations,320 BERING-Renovate Washrooms, -   , -   , -   ,6.00,66.00, -   , -   , -   , -   , -   ,72.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Renovations,35 Spadina Road - Various Projects, -   , -   ,8.00,245.00, -   , -   , -   , -   , -   , -   ,253.00,11,University-Rosedale,State of Good Repair 
Corporate Real Estate Management,Renovations,"4100 Keele St-Interior Renovation, leak and sprink", -   ,18.00,15.00, -   , -   , -   , -   , -   , -   , -   ,33.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Renovations,4219 Dundas St-Interior Finishes, -   , -   , -   , -   , -   , -   , -   , -   , -   ,65.00,65.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Renovations,433 Eastern Ave -Block B-Renovate Kitchen, -   , -   , -   ,18.00,67.00, -   , -   , -   , -   , -   ,85.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Renovations,433 Eastern Ave-Renovate Washrooms, -   , -   , -   ,5.00,33.00, -   , -   , -   , -   , -   ,38.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Renovations,55 John St - Various Projects - Architectural 1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,66.00,66.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Renovations,55 John-Renew Finishes 3rd Fl Meeting Room, -   , -   , -   , -   , -   , -   , -   , -   , -   ,219.00,219.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Renovations,61 TORYORK-Interior Painting, -   , -   , -   ,3.00,78.00, -   , -   , -   , -   , -   ,81.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Renovations,700 EGLINTON AVE W-Replace interior doors and glaz, -   , -   , -   ,9.00,108.00, -   , -   , -   , -   , -   ,117.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Renovations,700 Eglinton Ave. W - Various Projects, -   , -   , -   , -   , -   , -   , -   , -   ,12.00,81.00,93.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Renovations,765 Queen St.E-General interior renovations - phas, -   , -   ,212.00,218.00,224.00, -   , -   , -   , -   , -   ,654.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Renovations,786 Dundas St E_Repaint general workshop areas , -   , -   , -   ,82.00, -   , -   , -   , -   , -   , -   ,82.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Renovations,821 Progress-Replace entire Flooring, -   , -   , -   , -   , -   , -   , -   , -   ,4.00,141.00,145.00,24,Scarborough-Guildwood,State of Good Repair 
Corporate Real Estate Management,Renovations,"843 PALMERSTON-Repl Fire Alarm Sys,Sump pumps,Repa", -   , -   ,16.00, -   , -   , -   , -   , -   , -   , -   ,16.00,11,University-Rosedale,State of Good Repair 
Corporate Real Estate Management,Renovations,891 MORNINGSIDE AVE -Replace Entire Flooring, -   , -   , -   ,10.00,170.00, -   , -   , -   , -   , -   ,180.00,25,Scarborough-Rouge Park,State of Good Repair 
Corporate Real Estate Management,Renovations,891 MORNINGSIDE AVE-Interior Painting, -   , -   , -   ,13.00,130.00, -   , -   , -   , -   , -   ,143.00,25,Scarborough-Rouge Park,State of Good Repair 
Corporate Real Estate Management,Renovations,891 MORNINGSIDE AVE-Interior repainting, -   , -   , -   ,4.00,64.00, -   , -   , -   , -   , -   ,68.00,25,Scarborough-Rouge Park,State of Good Repair 
Corporate Real Estate Management,Renovations,891 MORNINGSIDE AVE-Renovate Kitchen , -   , -   , -   ,9.00,47.00, -   , -   , -   , -   , -   ,56.00,25,Scarborough-Rouge Park,State of Good Repair 
Corporate Real Estate Management,Renovations,9 Clendenan-Renovations, -   , -   , -   ,9.00,32.00, -   , -   , -   , -   , -   ,41.00,4,Parkdale-High Park,State of Good Repair 
Corporate Real Estate Management,Renovations,Feasibility Study on Special Projects - BCA 2022,1300.00,500.00, -   , -   , -   , -   , -   , -   , -   , -   ,1800.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,St Lawrence Market - South - Renovations,100.00,825.00,1325.00,1500.00, -   , -   , -   , -   , -   , -   ,3750.00,13,Toronto Centre,Service Improvement and Enhancement 
Corporate Real Estate Management,Renovations,Var Facilities-Feasibility Study on Special projec,500.00,500.00,1000.00,1000.00,1000.00,500.00,500.00,1000.00,1000.00,1000.00,8000.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,Various SOGR Work on Interior Systems 2027, -   , -   , -   , -   , -   ,528.00,8823.00, -   , -   , -   ,9351.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,VarLocs-SOGR Interior Systems 2020 ,100.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,100.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,VarLocs-SOGR Interior Systems 2022 ,926.00,3111.00,507.00, -   , -   , -   , -   , -   , -   , -   ,4544.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,VarLocs-SOGR Interior Systems 2029 , -   , -   , -   , -   , -   , -   ,466.00,6650.00,876.00,3487.00,11479.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,VarLocs-SOGR Renovations/Interior Work 2021 ,345.00,577.00, -   , -   , -   , -   , -   , -   , -   , -   ,922.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,VarLocs-SOGR Renovations/Interior Work 2029 , -   , -   , -   , -   , -   , -   , -   ,590.00,4822.00,132.00,5544.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,VarLocs-Various SOGR Interior Systems 2018 Group I,1200.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1200.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,VarLocs-Various SOGR Work on Interior Systems 2025, -   , -   , -   , -   ,290.00,5118.00,50.00, -   , -   , -   ,5458.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,VarLocs-Various SOGR Work on Interior Systems 2026, -   , -   , -   , -   ,8.00,460.00, -   , -   , -   , -   ,468.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Renovations,VarLocs-Various SOGR Work on Interior Systems 2027, -   , -   , -   , -   , -   ,500.00,500.00, -   , -   , -   ,1000.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Re-roofing, 1076 PAPE AVE-Re-roofing , -   , -   , -   ,269.00, -   , -   , -   , -   , -   , -   ,269.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Re-roofing, 185 FIFTH ST-Replacment of Third Storey Roofing M, -   , -   , -   ,21.00,268.00, -   , -   , -   , -   , -   ,289.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Re-roofing, 313 PHARMACY AVE-Low Sloped Roofing System, -   , -   , -   , -   ,92.00,324.00,270.00, -   , -   , -   ,686.00,20,Scarborough Southwest,State of Good Repair 
Corporate Real Estate Management,Re-roofing, 330 Bering Ave -Main roof replacement , -   , -   , -   ,10.00,142.00, -   , -   , -   , -   , -   ,152.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Re-roofing,100 Queen-Rpr/Rpl columns&expnsion joints, -   , -   , -   , -   , -   , -   , -   ,48.00,501.00, -   ,549.00,13,Toronto Centre,State of Good Repair 
Corporate Real Estate Management,Re-roofing,111 KING ST E-Rplc. of Roofing Membrane , -   , -   , -   ,11.00,112.00, -   , -   , -   , -   , -   ,123.00,13,Toronto Centre,State of Good Repair 
Corporate Real Estate Management,Re-roofing,1135 Caledonia-Roof Replacement, -   , -   , -   ,3.00,223.00, -   , -   , -   , -   , -   ,226.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Re-roofing,1401 CASTLEFIELD AVE -Built Up Roof Replacement , -   , -   , -   ,65.00,691.00, -   , -   , -   , -   , -   ,756.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Re-roofing,1401 CASTLEFIELD-Modified Bitumen Roof Replacement, -   , -   , -   , -   , -   , -   , -   , -   , -   ,93.00,93.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Re-roofing,2050 JANE-Re-roofing & Ceiling, -   ,1237.00, -   , -   , -   , -   , -   , -   , -   , -   ,1237.00,5,York South-Weston ,State of Good Repair 
Corporate Real Estate Management,Re-roofing,251 ESTHER SHINER BLVD-Main roof replacement, -   , -   , -   , -   , -   , -   , -   , -   , -   ,7.00,7.00,17,Don Valley North,State of Good Repair 
Corporate Real Estate Management,Re-roofing,301 Broadview Ave - Various Projects, -   , -   , -   , -   , -   , -   , -   , -   ,5.00,58.00,63.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Re-roofing,320 BERING AVE-Main roof replacement, -   , -   , -   , -   , -   , -   , -   , -   , -   ,275.00,275.00,5,York South-Weston ,State of Good Repair 
Corporate Real Estate Management,Re-roofing,330 BERING AVE-Main roof replacement, -   , -   ,9.00,141.00, -   , -   , -   , -   , -   , -   ,150.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Re-roofing,3325 Warden Ave-Replace Roofing Systems, -   , -   , -   , -   , -   , -   , -   , -   , -   ,137.00,137.00,22,Scarborough-Agincourt,State of Good Repair 
Corporate Real Estate Management,Re-roofing,4560 Sheppard Ave E-Repl Roofing Systems, -   , -   , -   , -   , -   , -   , -   , -   , -   ,131.00,131.00,23,Scarborough-North,State of Good Repair 
Corporate Real Estate Management,Re-roofing,49 Toryork Drive-Main Roof Replacement, -   , -   , -   ,7.00,478.00, -   , -   , -   , -   , -   ,485.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Re-roofing,821 Progress Ave - various SOGR, -   ,8.00,277.00, -   , -   , -   , -   , -   , -   , -   ,285.00,24,Scarborough-Guildwood,State of Good Repair 
Corporate Real Estate Management,Re-roofing,843 Eastern-Roof replacement, -   , -   , -   , -   , -   , -   , -   , -   , -   ,116.00,116.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Re-roofing,91 Front St E-Rpl Roof OH Dr Stairs Flr , -   ,219.00, -   , -   , -   , -   , -   , -   , -   , -   ,219.00,13,Toronto Centre,State of Good Repair 
Corporate Real Estate Management,Re-roofing,97 Main St - Various Projects, -   , -   , -   , -   , -   , -   , -   , -   ,11.00,108.00,119.00,19,Beaches-East York,State of Good Repair 
Corporate Real Estate Management,Re-roofing,VarLocs-SOGR Re-roofing 2021 ,1986.00,2688.00, -   , -   , -   , -   , -   , -   , -   , -   ,4674.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Resiliency Program,Electrical Resiliency Program - Phase 1, -   , -   , -   , -   , -   , -   , -   , -   ,2950.00,5118.00,8068.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Sitework, 1401 CASTLEFIELD AVE -Repl of Retaining Wall, -   , -   , -   ,6.00,60.00, -   , -   , -   , -   , -   ,66.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Sitework, 1401 CASTLEFIELD AVE -Replacement of Asphalt Pave, -   , -   , -   ,50.00,987.00, -   , -   , -   , -   , -   ,1037.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Sitework, 1535 Albion Road - Various Projects, -   , -   , -   ,5.00,49.00, -   , -   , -   , -   , -   ,54.00,1,Etobicoke North,State of Good Repair 
Corporate Real Estate Management,Sitework, 313 Pharmacy Ave-Replace Stair Chairclimber, -   ,3.00,47.00, -   , -   , -   , -   , -   , -   , -   ,50.00,20,Scarborough Southwest,State of Good Repair 
Corporate Real Estate Management,Sitework, 9 Clendenan Ave - Various Projects, -   , -   , -   ,9.00,96.00, -   , -   , -   , -   , -   ,105.00,4,Parkdale-High Park,State of Good Repair 
Corporate Real Estate Management,Sitework,100 Queen W- Clean exterior concrete, -   ,22.00,230.00, -   , -   , -   , -   , -   , -   , -   ,252.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Sitework,100 Queen-Rehab Elevated Walkways, -   , -   , -   , -   , -   , -   , -   ,1257.00,252.00, -   ,1509.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Sitework,"1135 Caledonia - Roofing, Asphalt, Sidewalks", -   , -   , -   , -   , -   , -   , -   , -   ,28.00,29.00,57.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Sitework,115 Parkway Forest-Asphalt Ravement, -   , -   , -   , -   , -   , -   , -   , -   , -   ,293.00,293.00,17,Don Valley North,State of Good Repair 
Corporate Real Estate Management,Sitework,"116 Dorset-Parking,Alarm,Ext Lighting", -   , -   , -   , -   , -   , -   , -   , -   , -   ,174.00,174.00,20,Scarborough Southwest,State of Good Repair 
Corporate Real Estate Management,Sitework,1401 CASTLEFIELD AVE -Replacement of Concrete Side, -   , -   , -   ,7.00,77.00, -   , -   , -   , -   , -   ,84.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Sitework,1401 CASTLEFIELD AVE-Replacement of Asphalt Paveme, -   , -   , -   , -   , -   , -   , -   , -   , -   ,48.00,48.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Sitework,1401 CASTLEFIELD AVE-Replacement of Chain-Link Fen, -   , -   , -   ,13.00,159.00, -   , -   , -   , -   , -   ,172.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Sitework,1401 CASTLEFIELD AVE-Replacement of Metal Guardrai, -   , -   , -   ,3.00,40.00, -   , -   , -   , -   , -   ,43.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Sitework,1401 CASTLEFIELD Replacement of Asphalt Pavement i, -   , -   , -   , -   , -   , -   , -   , -   , -   ,51.00,51.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Sitework,150 Borough - Asphalt Replacement (2), -   , -   , -   ,57.00,1097.00, -   , -   , -   , -   , -   ,1154.00,21,Scarborough Centre,State of Good Repair 
Corporate Real Estate Management,Sitework,150 Borough Dr - Various Projects, -   ,27.00,256.00, -   , -   , -   , -   , -   , -   , -   ,283.00,21,Scarborough Centre,State of Good Repair 
Corporate Real Estate Management,Sitework,20 Beffort Rd-RPL Water Heater & Asphalt, -   ,7.00,35.00, -   , -   , -   , -   , -   , -   , -   ,42.00,6,York Centre ,State of Good Repair 
Corporate Real Estate Management,Sitework,20 Beffort-Replace front asphalt driveway, -   , -   , -   , -   , -   , -   , -   , -   ,5.00,552.00,557.00,6,York Centre ,State of Good Repair 
Corporate Real Estate Management,Sitework,200 TRETHEWEY-Asphalt Pavement Wall Rehab, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1545.00,1545.00,12,Toronto-St. Pauls,State of Good Repair 
Corporate Real Estate Management,Sitework,3300 Bayview-Pavement&Painting, -   , -   , -   ,7.00,96.00, -   , -   , -   , -   , -   ,103.00,18,Willowdale,State of Good Repair 
Corporate Real Estate Management,Sitework,3600 Danforth Ave-Replace Parking Lot Elements, -   , -   , -   ,7.00,260.00, -   , -   , -   , -   , -   ,267.00,20,Scarborough Southwest,State of Good Repair 
Corporate Real Estate Management,Sitework,"433 Eastern Ave-Replacement of Chain-Link Fence, M", -   , -   , -   ,21.00,259.00, -   , -   , -   , -   , -   ,280.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Sitework,4330 Dufferin-Roof Replmnt&Various-Architectural1 , -   , -   , -   , -   , -   , -   , -   , -   ,32.00,294.00,326.00,6,York Centre ,State of Good Repair 
Corporate Real Estate Management,Sitework,49 TORYORK-Asphalt Pavement in Visitor Parking Lot, -   , -   , -   ,80.00,1604.00, -   , -   , -   , -   , -   ,1684.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Sitework,49 TORYORK-Concrete Sidewalks and Concrete Curbs, -   , -   , -   ,6.00,55.00, -   , -   , -   , -   , -   ,61.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Sitework,5100 Yonge St_CCTV Camera renewal in the Square, -   , -   , -   ,169.00, -   , -   , -   , -   , -   , -   ,169.00,18,Willowdale,State of Good Repair 
Corporate Real Estate Management,Sitework,539 Queens Quay W-Repl Asphalt&Concrete, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Sitework,786 Dundas St E_Resurface the asphalted west yard, -   , -   , -   ,184.00, -   , -   , -   , -   , -   , -   ,184.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Sitework,891 MORNINGSIDE AVE-Replacement of Metal Guardrail, -   , -   , -   ,7.00,100.00, -   , -   , -   , -   , -   ,107.00,25,Scarborough-Rouge Park,State of Good Repair 
Corporate Real Estate Management,Sitework,891 MORNINGSIDE AVE-Rplc of Deteriorated Chain-Lin, -   , -   , -   ,6.00,89.00, -   , -   , -   , -   , -   ,95.00,25,Scarborough-Rouge Park,State of Good Repair 
Corporate Real Estate Management,Sitework,Indian Resident'l School Survivors Legacy Prj SOGR,3000.00,4400.00,3000.00,3000.00, -   , -   , -   , -   , -   , -   ,13400.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Sitework,Various SOGR Work on Site Work 2027, -   , -   , -   , -   ,63.00,202.00,2679.00, -   ,6.00,1142.00,4092.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Sitework,Various Transportation Facilities-PPFA, -   , -   , -   ,36.00,2065.00, -   , -   , -   , -   , -   ,2101.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Sitework,VarLocs-SOGR Site Work 2022,2016.00,4223.00, -   , -   , -   , -   , -   , -   , -   , -   ,6239.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Sitework,VarLocs-SOGR Site Work 2029, -   , -   , -   , -   , -   , -   ,469.00,8448.00,403.00, -   ,9320.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Sitework,VarLocs-SOGR Sitework 2018,-1262.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-1262.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Sitework,VarLocs-SOGR Sitework 2021 ,5701.50,729.80, -   , -   , -   , -   , -   , -   , -   , -   ,6431.30,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Sitework,VarLocs-Various SOGR Sitework 2018 Group I,2150.00,1500.00, -   , -   , -   , -   , -   , -   , -   , -   ,3650.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Sitework,VarLocs-Various SOGR Work on Sitework 2026, -   , -   , -   , -   ,23.00,301.00, -   , -   , -   , -   ,324.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Special Corporate Projects,CCOO Management Reporting Initiative - Phase 2,475.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,475.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,Special Corporate Projects,Life Cycle Asset Mgmt Preventative Mtc Prog,901.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,901.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,Structural/Building Envelope," 267 Humberline Dr-Replacement of fire detection, ", -   , -   ,25.00,272.00, -   , -   , -   , -   , -   , -   ,297.00,1,Etobicoke North,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope, 280 Burnhanthorpe Rd-Replace Exterior Windows and, -   , -   ,99.00,453.00, -   , -   , -   , -   , -   , -   ,552.00,2,Etobicoke Centre,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope," 441 BLOOR ST E-Structural Slab/PreCast, Interior ", -   ,21.00,218.00, -   , -   , -   , -   , -   , -   , -   ,239.00,13,Toronto Centre,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope," 4562 Sheppard Avenue E-Replace Ext Windows Doors,", -   , -   , -   ,28.00,312.00, -   , -   , -   , -   , -   ,340.00,23,Scarborough-North,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,100 Queen W Parking - Various SOGR Project, -   ,3.00,29.00, -   , -   , -   , -   , -   , -   , -   ,32.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,"100 Queen-Renos (Windows, interior)", -   , -   ,33.00,122.00, -   , -   , -   , -   , -   , -   ,155.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,1050 Ellesmere Building - Facility Construction,8839.00,14785.00,10921.00,9874.00,500.00, -   , -   , -   , -   , -   ,44919.00,21,Scarborough Centre,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,"115 Parkway-Roof,Windows,Mech", -   , -   , -   ,48.00,530.00, -   , -   , -   , -   , -   ,578.00,17,Don Valley North,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,1401 CASTLEFIELD AVE-Window and Door Repl, -   , -   , -   ,3.00,36.00, -   , -   , -   , -   , -   ,39.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,146 Crescent Road - Various Projects, -   ,23.00,230.00, -   , -   , -   , -   , -   , -   , -   ,253.00,11,University-Rosedale,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,150 Borough-Curtain Wall Reno, -   , -   , -   ,862.00,549.00, -   , -   , -   , -   , -   ,1411.00,21,Scarborough Centre,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,1530 Markham-Rev Doors Pavers Ceilings, -   , -   , -   , -   , -   , -   , -   , -   ,13.00,123.00,136.00,23,Scarborough-North,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,16 Ossington-Rpl Windows, -   , -   , -   , -   , -   , -   , -   , -   , -   ,117.00,117.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,175 Memorial Park Ave - Various Projects, -   , -   ,19.00,309.00, -   , -   , -   , -   , -   , -   ,328.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,2 Dyas Rd Re-Roofing (Add. Funding),2100.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2100.00,16,Don Valley East,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,241 ESTHER SHINER-Windows and exterior doors repla, -   , -   , -   ,7.00,586.00, -   , -   , -   , -   , -   ,593.00,17,Don Valley North,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,2444 Eglinton Ave E-Rpl Windows/OH door, -   , -   , -   , -   , -   , -   , -   , -   , -   ,165.00,165.00,21,Scarborough Centre,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,246 The Esplanade-Parking Garage Rehab, -   , -   ,73.00,589.00, -   , -   , -   , -   , -   , -   ,662.00,13,Toronto Centre,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,251 ESTHER SHINER BLVD-Wood Roof Framing Rehabilit, -   , -   , -   ,5.00,60.00, -   , -   , -   , -   , -   ,65.00,17,Don Valley North,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,255 Spadina-rpl Windows and Doors, -   ,16.00,311.00, -   , -   , -   , -   , -   , -   , -   ,327.00,12,Toronto-St. Pauls,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,2700 Eglinton - Exterior Wall Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   ,25.00,603.00,628.00,5,York South-Weston ,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,"2753 Jane St-Replace Roofing, Exterior Doors and W", -   , -   ,25.00,395.00, -   , -   , -   , -   , -   , -   ,420.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,2900 Lawrence Ave E - Exterior Doors and Various R, -   , -   , -   ,11.00,116.00, -   , -   , -   , -   , -   ,127.00,21,Scarborough Centre,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,30 NORTHLINE RD-Exterior Wall Rehabilitation , -   , -   , -   ,23.00,239.00, -   , -   , -   , -   , -   ,262.00,19,Beaches-East York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,3061 Birchmount Road - Various Projects, -   , -   , -   , -   , -   , -   , -   , -   , -   ,72.00,72.00,22,Scarborough-Agincourt,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,3100 EGLINTON E-Exterior & Overhead Door , -   , -   ,27.00,281.00, -   , -   , -   , -   , -   , -   ,308.00,24,Scarborough-Guildwood,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,320 BERING AVE-Exterior Wall and Structural Rehabi, -   , -   , -   ,33.00,278.00, -   , -   , -   , -   , -   ,311.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,"3325 Warden Ave-Repair Parking Lot Elements, Repla", -   , -   ,14.00,151.00,4.00,20.00, -   , -   , -   , -   ,189.00,22,Scarborough-Agincourt,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,"339 Queen's Quay W-Replace Upper Flat Roofing, Sum", -   , -   ,62.00,501.00, -   , -   , -   , -   , -   , -   ,563.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,433 EASTERN AVE-Exterior Wall and Roof Structure R, -   , -   , -   ,435.00,2484.00, -   , -   , -   , -   , -   ,2919.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,433 Eastern Ave-Window and Door Repairs , -   , -   , -   ,10.00,122.00, -   , -   , -   , -   , -   ,132.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,4330 Dufferin Street Site - Various Projects - Arc, -   , -   , -   ,51.00,1070.00, -   , -   , -   , -   , -   ,1121.00,6,York Centre ,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,"441 BLOOR ST E-Rehabilitation of Exterior Walls, R", -   ,24.00,476.00, -   , -   , -   , -   , -   , -   , -   ,500.00,13,Toronto Centre,State of Good Repair 
